Call_ID,Transcript,Extracted_Event,Keywords,Location,Sentiment,Urgency_Score
C203,"We have a shooter in the store. Okay, do you know if anybody's injured?",Physical assault / fight,Incident: Unknown incident | Urgency phrases: now,Unknown,Distressed,0.78
C204,Okay. Okay. I need to get your stuff to a safe location.,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.74
C205,emergency. We're out of the town center.,Unknown incident,Incident: Unknown incident | Urgency phrases: emergency,Unknown,Distressed,0.88
C206,"911. Clackerman's town center, Frederick's of Hollywood, fired in the mouth. Oka...",Building fire / trapped persons,Incident: Building fire / trapped persons | Locations: Hollywood | Names: Frederick,Hollywood,Distressed,0.58
C207,"Hi, I'm a suicidal teenager at House 503 Nighthawk Drive. I need an ambulance im...",Medical emergency,Incident: Medical emergency | Urgency phrases: immediately,At House,Distressed,0.91
C208,"500 feet, roll the cop, roll an ambulance, shots fired, a baby's been hit in the...",Building fire / trapped persons,Incident: Building fire / trapped persons,Unknown,Distressed,0.79
C209,Can you get an ambulance in a cop? Get the over to 59 Alderwood drives. 59 what?...,Medical emergency,"Incident: Medical emergency | Names: Alderwood, Alderwood",Unknown,Distressed,0.71
C210,"Hi, the gentleman was just talking to me about someone who's broken.",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.57
C211,"But, hurry up, this is the bivy. It happened. This is the bivy. He can't snuck i...",Unknown incident,Incident: Unknown incident | Urgency phrases: hurry,Unknown,Calm,0.87
C212,But we went to the quails unlimited dinner last night and the cylinder might hea...,Road accident / vehicle crash,Incident: Road accident / vehicle crash,Unknown,Distressed,0.58
C213,Get empty over here. Come under in shot 1220. Call the grab avenue 1220,Unknown incident,Incident: Physical assault / fight,Grab Avenue,Distressed,0.61
C214,My mom is here. You're over there.,Unknown incident,Incident: Unknown incident,Unknown,Calm,0.58
C215,"I'm at 69, 69 East Main. My son just shot his wife.",Unknown incident,Incident: Physical assault / fight,Unknown,Distressed,0.65
C216,"I don't know. Yes sir, I do push car right now. 504J3. 5041.",Road accident / vehicle crash,Incident: Road accident / vehicle crash | Urgency phrases: now,Unknown,Distressed,0.53
C217,"Yes, ma'am. Yeah, this is your last seat. Shot fired, same thing.",Building fire / trapped persons,Incident: Building fire / trapped persons,Unknown,Distressed,0.59
C218,"Yeah, I just attend to kill my mother if I step out there. Okay, where are you a...",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.77
C219,"Yes, we're at a pool and I have a little girl that keeps down and she's not brea...",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.73
C220,"My neighbor's house is burning down at 312 Washington Avenue. We're on our ways,...",Building fire / trapped persons,Incident: Building fire / trapped persons | Locations: Washington Avenue,Washington Avenue,Distressed,0.82
C221,Fuji guys welcome onto this side to enjoy for this shall we enjoy the toursMinit...,Unknown incident,Incident: Unknown incident,Unknown,Calm,0.49
C222,I'm reporting an airplane crash at a SSO. An airplane crash at SSO?,Road accident / vehicle crash,Incident: Road accident / vehicle crash,Unknown,Distressed,0.63
C223,"high, we just, where's the emphasis to airport in our airplane just crashed upon...",Road accident / vehicle crash,Incident: Road accident / vehicle crash,Unknown,Distressed,0.66
C224,"I'm in the hammer now, I'm going to wait. To wait a little bit. Wait a little bi...",Unknown incident,Incident: Unknown incident | Urgency phrases: now,Unknown,Distressed,0.44
C225,"Why did I move the fire alarm office? Okay, this is county. It's a matter of...",Building fire / trapped persons,Incident: Building fire / trapped persons,Unknown,Distressed,0.47
C226,"Yeah, this is emergency. I'm a cab driver this guy. He say...",Unknown incident,Incident: Unknown incident | Urgency phrases: emergency,Unknown,Distressed,0.98
C227,I'm going to see. Dance away! What happened to me? I don't know. I'm in the way....,Unknown incident,"Incident: Unknown incident | Urgency phrases: now, please",Unknown,Calm,0.55
C228,Help me help me quick. I'm the only one who can be on the court. I know.,Unknown incident,"Incident: Unknown incident | Urgency phrases: help, now",Unknown,Distressed,0.85
C229,Can I want a mercy? What are you facing? Hello?,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.59
C230,"And there's a fire on the cemetery, a bridge into one of the gates. And on the c...",Building fire / trapped persons,Incident: Building fire / trapped persons,Unknown,Distressed,0.75
C231,"Yes ma'am, I'm on second avenue in the school and the gentleman said tell them t...",Unknown incident,Incident: Unknown incident,Second Avenue,Calm,0.6
C232,He's in the house.,Unknown incident,Incident: Unknown incident,Unknown,Calm,0.55
C233,"Yes, our ammunition is help. I'm trapped in the back side of this force bar.",Building fire / trapped persons,"Incident: Building fire / trapped persons | Urgency phrases: help, trapped",Unknown,Distressed,0.7
C234,I'm watching Mike Donnell's up here. And I order like seven birds.,Suspicious activity,Incident: Unknown incident | Names: Mike Donnell's,Unknown,Calm,0.58
C235,"Oh my God, so many students at the Sheriff Department. At the Sheriff Department...",Unknown incident,Incident: Unknown incident,So Building,Calm,0.66
C236,"Yes, I didn't tacked by a man in the woods while I was hunting. Please send the ...",Unknown incident,Incident: Unknown incident | Urgency phrases: please,Unknown,Distressed,0.73
C237,"On the boat, it ends up Radio lighting and electric supply building Radio lighti...",Unknown incident,Incident: Unknown incident,Supply Building,Distressed,0.6
C238,Yes this is specific. Off to the studio this is sque今回 school. I want to introdu...,Unknown incident,Incident: Unknown incident,Unknown,Calm,0.64
C239,"Now, here seems to be a bad fight next story.",Physical assault / fight,Incident: Physical assault / fight | Urgency phrases: now,Unknown,Distressed,0.57
C240,"I don't think so now and we all been followed. You need to hurry, we can only...",Suspicious activity,"Incident: Unknown incident | Urgency phrases: hurry, now",Unknown,Distressed,0.79
C241,"I think some people are shooting. Okay, and SSF. Okay.",Physical assault / fight,Incident: Physical assault / fight,Unknown,Distressed,0.59
C242,I'm about to kill people. You're about to kill people? Yes. I had a deadly weapo...,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.63
C243,I'm sorry. Hello? Hello?,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.53
C244,"The station is on sunset, Larby, please come here. Okay, calm down a little bit,...",Unknown incident,Incident: Unknown incident | Urgency phrases: please,Unknown,Distressed,0.49
C245,"Um, my friend, who's my birthday gift, who I got to know.",Unknown incident,Incident: Unknown incident | Urgency phrases: now,Unknown,Calm,0.52
C246,I'm working for the head. I'm calling my son. I'm just getting asked. What's you...,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.55
C247,"Oh, I'm just very upset. And I'm...",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.6
C248,But guess what the fox has broke out and the lady come running out of the man fr...,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.74
C249,"Okay, I'm at Wild Cash even. We've had a lot of our keepers.",Robbery / theft in progress,Incident: Robbery / theft in progress,Unknown,Calm,0.5
C250,This is my goodest five or five each financial. I got the people in my yard and ...,Unknown incident,Incident: Unknown incident,Unknown,Calm,0.52
C251,"I've been called over to my father in law to have, because he got off the phone ...",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.77
C252,There was this time I go and what a road is this? Red arrow going down.,Road accident / vehicle crash,Incident: Unknown incident,A Road,Distressed,0.56
C253,"My girlfriend is right and I think she's dead. I need someone here now. Okay, sh...",Unknown incident,Incident: Unknown incident | Urgency phrases: now,Unknown,Calm,0.82
C254,I'm sorry. Any hoax school. I think there's somebody shooting in here. Sandy hoa...,Physical assault / fight,Incident: Physical assault / fight,Unknown,Distressed,0.69
C255,"emergency. Say you look at elementary school, 12 dickies and drugs. Okay, I've g...",Unknown incident,Incident: Unknown incident | Urgency phrases: emergency,Unknown,Distressed,0.81
C256,I can still draw. It sounds like they're contacting the hallway. I'm a teacher i...,Unknown incident,Incident: Unknown incident,Unknown,Calm,0.58
C257,"Yes, my husband's on the front there's a car here within a soul rifle shooting i...",Road accident / vehicle crash,Incident: Road accident / vehicle crash,Our House,Distressed,0.75
C258,"emergency. Oh, please hurry. This is one nine. Wind him court. We",Unknown incident,"Incident: Unknown incident | Urgency phrases: emergency, hurry, please",Unknown,Distressed,0.94
C259,"by the door. If anybody comes down here I'm shooting. Okay, don't, we don't want...",Physical assault / fight,Incident: Physical assault / fight,Unknown,Distressed,0.57
C260,there. We got a we got a student athlete who was on the court moaning.,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.57
C261,"I have a nine week old infant and he just stopped breathing. Damn, I'm a white-u...",Road accident / vehicle crash,Incident: Road accident / vehicle crash,Unknown,Distressed,0.8
C262,"We believe that there is a schooner. We have heard at least two shots. Okay, wha...",Unknown incident,Incident: Physical assault / fight,Unknown,Distressed,0.63
C263,Minimum arab ми's Capuchom,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.52
C264,gunshot went to the chest. Number B.,Physical assault / fight,Incident: Physical assault / fight,Unknown,Distressed,0.6
C265,Can you hold for just a second? I just saw somebody running to the Comfort Bank ...,Robbery / theft in progress,Incident: Unknown incident,Comfort Bank,Distressed,0.78
C266,I'll call it in right through. E. A weapons room. I'll call it right through.,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.53
C267,"the railroad tracks, we've got to train that to D rail the National Fire.",Building fire / trapped persons,Incident: Building fire / trapped persons,Unknown,Distressed,0.8
C268,"You guys are having a baby, you're supposed to be... You're supposed to be guys ...",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.56
C269,He never says yes.,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.45
C270,"I just had a lottery to steal a beer at all. All right, hold on, first share our...",Robbery / theft in progress,Incident: Unknown incident,Unknown,Calm,0.56
C271,"So there's been a gunshot at the cop theater, movie theater, cop, and what's the...",Physical assault / fight,Incident: Physical assault / fight,Unknown,Distressed,0.69
C272,I'm gonna come in with your name. What is your name?,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.59
C273,"the crazy. He's been stabbed really bad. Okay, let's be breathing ma'am.",Physical assault / fight,Incident: Unknown incident,Unknown,Distressed,0.64
C274,ond,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.52
C275,"My daughter is choking on a bouncy ball. Okay, and you're at 25, 25 North 10th S...",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.71
C276,"Well, am I 41 going south and I'm going to do a cross street right now?",Unknown incident,Incident: Unknown incident | Urgency phrases: now,Cross Street,Calm,0.63
C277,"urgent both of it mama Oh yeah, now that's a moment.",Unknown incident,"Incident: Unknown incident | Urgency phrases: urgent, now",Unknown,Calm,0.93
C278,ครтеen! where's the fire at!? estas- woanging on a ScoobyDid,Building fire / trapped persons,Incident: Building fire / trapped persons,Unknown,Distressed,0.72
C279,payback police chief uh... with having a vehicle pulled across the street in the...,Road accident / vehicle crash,Incident: Road accident / vehicle crash,The Street,Distressed,0.65
C280,I've been taken out of my house at gunpoint. I'm going to head to the police sta...,Physical assault / fight,Incident: Unknown incident,My House,Distressed,0.63
C281,And my neighbor just knocked on my door. And I heard this mission. We went down ...,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.71
C282,معه لا أنه نبسوا auss proxy ايضاً فن Jerjen,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.57
C283,on. Land is on the ground. I didn't go and check you. A male is on the ground? Y...,Unknown incident,Incident: Unknown incident,Unknown,Calm,0.55
C284,"Yes, I live at the 9301 South Secretary of State, Harvard A. I got a gentle",Unknown incident,Incident: Unknown incident | Names: Harvard A. I,Unknown,Calm,0.54
C285,"This is Caliola, the transfer at your Beth Western. I'm a 1-14, someone has been...",Unknown incident,Incident: Physical assault / fight | Names: Beth Western,Unknown,Distressed,0.76
C286,We're missing a child. Three years old. You're missing a three year old.,Missing person report,Incident: Missing person report,Unknown,Distressed,0.67
C287,What exactly what happened? My wife's pregnant and she says she made the hospita...,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.65
C288,"I am on half road, I am in water, and it's taken me away. Hey man, we're on the....",Road accident / vehicle crash,Incident: Unknown incident,Unknown,Calm,0.6
C289,"Okay 134th respect, 29 42 and future with the injury that parents unthinkable.",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.59
C290,"My walk up up up a little. Okay, let's go up the bottle with a carrot there. You...",Road accident / vehicle crash,Incident: Road accident / vehicle crash,Unknown,Calm,0.54
C291,"I got a collar on the line, she's got to be quiet, somebody just broken door hou...",Unknown incident,Incident: Unknown incident | Locations: Lowell Street,Lowell Street,Distressed,0.81
C292,"I'm having one of my moments in shot. Okay, so it's medical. Is it medical, son?",Unknown incident,Incident: Physical assault / fight,Unknown,Distressed,0.58
C293,I've got a woman in my bank pointing a rifle at all of us and all of our custome...,Robbery / theft in progress,Incident: Unknown incident | Urgency phrases: now,My Bank,Distressed,0.9
C294,"We walked contact with two carriers, with the carrier and somebody else.",Road accident / vehicle crash,Incident: Road accident / vehicle crash,Unknown,Distressed,0.56
C295,"Where's your emergency? I need an ambulance to let on one colony. Okay, what's g...",Medical emergency,Incident: Medical emergency | Urgency phrases: emergency,Unknown,Distressed,0.73
C296,We need an ambulance. We're going on. My mom keeps...,Medical emergency,Incident: Medical emergency,Unknown,Distressed,0.81
C297,"Okay, what the problem on wrong and office? Something's what? You know, somethin...",Robbery / theft in progress,Incident: Unknown incident | Urgency phrases: now,Unknown,Distressed,0.56
C298,Are little boys not breathing? Is he breathing now? No he's not.,Unknown incident,Incident: Unknown incident | Urgency phrases: now,Unknown,Distressed,0.7
C299,You did!,Unknown incident,Incident: Unknown incident,Unknown,Calm,0.59
C300,"Um, my mother fed down. Okay, your mama fell down? Yeah. Okay, where are you at?",Medical emergency,Incident: Unknown incident,Unknown,Distressed,0.59
C301,"My kids have been in this for three o'clock today, my seven-year-old and my thre...",Missing person report,Incident: Unknown incident,Unknown,Calm,0.59
C302,I have been missing since 7 o'clock this morning and,Missing person report,Incident: Missing person report,Unknown,Distressed,0.67
C303,I have someone here that I need to be arrested in my home.,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.77
C304,Hello. Hello. Hello. Hello. Hello. Hello.,Unknown incident,Incident: Unknown incident,Unknown,Calm,0.51
C305,"Hi, I'm speaking to my boyfriend and he was entering his home and I heard loud s...",Public disturbance / riot,Incident: Unknown incident | Urgency phrases: now,Unknown,Distressed,0.62
C306,East rear.,Unknown incident,Incident: Unknown incident | Locations: East,East,Calm,0.52
C307,"I can't bite my wife, so I'll feed her the bathtub and I think she gets. I'll le...",Unknown incident,Incident: Unknown incident,Unknown,Calm,0.49
C308,We have a bare molley. I am out on the trail. I just wanted to take this time.,Unknown incident,Incident: Unknown incident,Unknown,Calm,0.16
C309,when i should there,Unknown incident,Incident: Unknown incident,Unknown,Calm,0.56
C310,This is an emergency run hike. I'm going to make my walk or hike in my kitchen i...,Building fire / trapped persons,Incident: Building fire / trapped persons | Urgency phrases: emergency,Unknown,Distressed,0.97
C311,northwest Vegas star. It looks like they have aircraft throwing the canvas with ...,Unknown incident,Incident: Unknown incident | Names: Vegas,Unknown,Distressed,0.61
C312,2313 what? 2313 cabrits. 2313 cabrits. Yes.,Unknown incident,Incident: Unknown incident,Unknown,Calm,0.49
C313,I'm sorry I've got to admit.,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.57
C314,"Yes, well I walked in my car and you're like in your car out of your car. Yes, i...",Road accident / vehicle crash,Incident: Road accident / vehicle crash,Unknown,Calm,0.56
C315,"You look like you need it, come slow. You just need a towel to come over here.",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.33
C316,"A child who has been left on my doorstep. Okay, what's your address?",Missing person report,Incident: Unknown incident,Unknown,Distressed,0.61
C317,Okay! No!,Unknown incident,Incident: Unknown incident,Unknown,Calm,0.24
C318,"Hang on, this is too much traction. So it's a connogeable of R to the 180.",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.76
C319,Exactly what happened. There was two trains just collided outside of our metro l...,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.65
C320,"Yes, ma'am. My name is Special Agent Richard A Smith. That's number zero time.",Unknown incident,Incident: Unknown incident | Names: Richard A,Unknown,Distressed,0.56
C321,"We'll be in the office, I'll guide you by 9. Please try. We're all bleeding.",Medical emergency,"Incident: Medical emergency | Urgency phrases: bleeding, please",Unknown,Distressed,0.59
C322,"Hello, it's the state police and the gentleman's girlfriend is having a baby rig...",Unknown incident,Incident: Unknown incident | Urgency phrases: now,Unknown,Calm,0.68
C323,I don't know if I'll make it. I'm trying to...,Unknown incident,Incident: Unknown incident | Urgency phrases: now,Unknown,Distressed,0.65
C324,"My boyfriend is outside, he has been stabbed. Okay. And he's...",Physical assault / fight,Incident: Unknown incident,Unknown,Calm,0.71
C325,I'm the guy that's in pretty big trouble right now. You're in pretty big trouble...,Unknown incident,Incident: Unknown incident | Urgency phrases: now,Unknown,Distressed,0.63
C326,"Yes, I think everybody's clicking into my house. Please. Okay, stay on the phone...",Robbery / theft in progress,Incident: Unknown incident | Urgency phrases: please,Unknown,Distressed,0.62
C327,Ada averages have really designedла stressed around down down down down we can't...,Unknown incident,Incident: Unknown incident | Names: Ada,Unknown,Distressed,0.6
C328,I think my son's been killed. We're at. We're in the Evergreen...,Unknown incident,Incident: Unknown incident,Unknown,Calm,0.72
C329,The update has already been released. I think he's going to try to kill himself....,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.59
C330,"Well, as said, emergency, you know why on one lane, on one side at the damn draw...",Unknown incident,"Incident: Unknown incident | Urgency phrases: emergency, now",Unknown,Distressed,0.97
C331,Come on. What? More now! There's nothing to talk about!,Unknown incident,Incident: Unknown incident | Urgency phrases: now,Unknown,Distressed,0.15
C332,What are you into doing? The FAA agents that look like you're giving a heart att...,Physical assault / fight,Incident: Physical assault / fight,Unknown,Distressed,0.57
C333,"Well, I just got a phone call saying that my friend, she was in the basement apa...",Unknown incident,Incident: Unknown incident,That House,Distressed,0.77
C334,There's a fire right here off the Broadway. Broadway and poetry.,Building fire / trapped persons,"Incident: Building fire / trapped persons | Locations: Broadway, Broadway",Broadway,Distressed,0.78
C335,We just came into my sister's house. I'll see you on the floor. Try the girlfrie...,Unknown incident,Incident: Unknown incident,Unknown,Calm,0.56
C336,My girlfriend left last night. We were at the Stevens-Ball and St. Nicholas.,Unknown incident,"Incident: Unknown incident | Locations: the Stevens-Ball, St. Nicholas",the Stevens-Ball,Distressed,0.56
C337,"My cat, a cat, is a seven-month-old child. And I...",Missing person report,Incident: Unknown incident,Unknown,Calm,0.55
C338,and my friend was drinking and she woke me up and she's sick and now she's not r...,Medical emergency,Incident: Unknown incident | Urgency phrases: now,Unknown,Distressed,0.66
C339,and it's a fire at somebody else called the stadium. You're on the ground. The a...,Building fire / trapped persons,Incident: Building fire / trapped persons,The Avenue,Calm,0.74
C340,28 grand we need somebody to move your nads to five years out of house. 28 grand...,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.66
C341,We came from Bader spoiling forest and s title spoken in the hear.,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.58
C342,میری دریاد کارتے ہو دریہ میری ریور کی کار کار میری ریورتے ہو دریگا بھائی آجا,Unknown incident,Incident: Unknown incident | Locations: بھائی,بھائی,Distressed,0.6
C343,Somebody got shot at? Somebody got shot at? Yeah.,Unknown incident,Incident: Physical assault / fight,Unknown,Distressed,0.56
C344,"Okay, what's the address?",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.55
C345,"emergency. Yeah, this is it from I had a little girl that fell on the ball and",Medical emergency,Incident: Unknown incident | Urgency phrases: emergency,Unknown,Distressed,0.91
C346,"The bedroom is on fire. I have to go fast. Okay, we're on the way.",Building fire / trapped persons,Incident: Building fire / trapped persons,Unknown,Calm,0.89
C347,"How you doing? I'd like to report like to a double murder in Cambridge, on it. O...",Unknown incident,Incident: Unknown incident | Locations: Cambridge | Urgency phrases: now,Cambridge,Calm,0.66
C348,"165 Airborne Road, I've been shot on 1675 Airport Road.",Road accident / vehicle crash,Incident: Physical assault / fight | Locations: Airport Road,Airport Road,Distressed,0.63
C349,"Скаляков,計 {\幼 fishermen DNX4 </0chuckles,Niedapp 01",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.56
C350,I need some help. What's going on?,Unknown incident,Incident: Unknown incident | Urgency phrases: help,Unknown,Distressed,0.7
C351,Conjects if there's a fire. Give the fire at what address man?,Building fire / trapped persons,Incident: Building fire / trapped persons,Unknown,Distressed,0.62
C352,"Hi, something just exploded at the end of Sayat. Okay, is there any...",Unknown incident,Incident: Unknown incident | Locations: Sayat,Sayat,Distressed,0.68
C353,I think someone is trying to break into my home. Just stop at 56.,Robbery / theft in progress,Incident: Unknown incident,Unknown,Distressed,0.65
C354,"Hi, I'm Karen C. My name is Linda. I work with Entertainmentpur, my stylist.",Unknown incident,"Incident: Unknown incident | Names: Karen C., Linda",Unknown,Calm,0.51
C355,"I'll say what's going on, he said I want to help Brown. He's on Brown, she's in ...",Unknown incident,"Incident: Unknown incident | Names: Brown, Brown | Urgency phrases: help, now",Unknown,Calm,0.68
C356,I just shot my mother in my... You shot your mother?,Unknown incident,Incident: Physical assault / fight,Unknown,Distressed,0.63
C357,I just witnessed a shooting on third Avenue in Nickers. Third in Nickers and how...,Physical assault / fight,Incident: Physical assault / fight | Locations: third Avenue,third Avenue,Distressed,0.66
C358,Oh my God! I'm not so lucky! You're right now! We used to talk about lightning! ...,Unknown incident,Incident: Unknown incident | Urgency phrases: now,Unknown,Calm,0.7
C359,We have an aircraft declaring an emergency is going to land on the beach at Veni...,Unknown incident,Incident: Unknown incident | Locations: Venice | Urgency phrases: emergency,Venice,Distressed,0.83
C360,"No, I think someone's in. David, you hear the front door? I'm hearing no lights,...",Unknown incident,Incident: Unknown incident | Names: David,Unknown,Distressed,0.61
C361,we heard looked in the garage door was up and i thought the gentleman was backin...,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.56
C362,We've been beating. It's the family daughter. I'm bleeding.,Physical assault / fight,Incident: Medical emergency | Urgency phrases: bleeding,Unknown,Distressed,0.6
C363,I have a gun range officer that got shot in the head. We're at a... Samture's po...,Physical assault / fight,Incident: Physical assault / fight | Names: Samture,Unknown,Distressed,0.67
C364,"I need 10 minutes right now for you. Okay, let's be a drag.",Unknown incident,Incident: Unknown incident | Urgency phrases: now,Unknown,Distressed,0.47
C365,We go up to this lady she laying in the road. I think she would get by a car. Ok...,Road accident / vehicle crash,Incident: Road accident / vehicle crash,Unknown,Distressed,0.6
C366,I'm going to ruin the way I'm at. But my line looks like this guy robbed and he ...,Robbery / theft in progress,Incident: Physical assault / fight,Unknown,Calm,0.5
C367,She cut me who cut you there's no no hold on,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.44
C368,Please have me try to get my house. What are they doing? They tied my fund door ...,Unknown incident,"Incident: Unknown incident | Urgency phrases: now, please",Unknown,Distressed,0.76
C369,"There's been a shooting, I just shot a man attack. We'll make a stop. OK, sir. I...",Physical assault / fight,Incident: Physical assault / fight,Unknown,Calm,0.77
C370,"I love me, I just love you more. Are you at a house? For a house?",Unknown incident,Incident: Unknown incident,Unknown,Calm,0.58
C371,"Yes, man, I just shot my doider and shot all my grandkids.",Missing person report,Incident: Physical assault / fight,Unknown,Distressed,0.64
C372,Because I'm not my way to work on North Sound on Redwood Road.,Road accident / vehicle crash,"Incident: Unknown incident | Locations: North Sound, Redwood Road",North Sound,Distressed,0.62
C373,"¡Ahhh! ¡Esto es eso! ¡Ay, un buen! ¡Cuál es la emergencia!",Unknown incident,"Incident: Unknown incident | Names: ¡Ahhh, ¡Ay, ¡Cuál",Unknown,Calm,0.79
C374,I got arrived from 21 to what's he's so cold? My 35 travels.,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.56
C375,"And there was a guy and there was a pistol and I was falling fake, but he's like...",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.61
C376,"I'll shut my husband and shut me, so we'll shut to me. Okay, hold on for me. Oka...",Unknown incident,Incident: Unknown incident,Unknown,Calm,0.55
C377,"I'm sorry, there's a situation here. We have residents that I think they stole a...",Road accident / vehicle crash,Incident: Road accident / vehicle crash,Unknown,Distressed,0.72
C378,I'm in a glory in a race where it's where I go away.,Unknown incident,Incident: Unknown incident,Unknown,Calm,0.66
C379,I think it's murder. What makes you think that? Because...,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.63
C380,"Um, I don't know if my husband had eyes rolling back. He's just not breathing.",Unknown incident,Incident: Unknown incident | Urgency phrases: now,Unknown,Distressed,0.56
C381,I'm out here right now and I lost my keys in my car. Is there any way that someo...,Road accident / vehicle crash,Incident: Road accident / vehicle crash | Urgency phrases: now,Unknown,Distressed,0.81
C382,It's not an emergency. The only way I know how to get in touch with this woman i...,Unknown incident,"Incident: Unknown incident | Urgency phrases: emergency, now",Unknown,Distressed,0.17
C383,What's going on there? Let's see what's going on there.,Unknown incident,Incident: Unknown incident,Unknown,Calm,0.61
C384,"Now, one, one, where's your emergency?",Unknown incident,"Incident: Unknown incident | Urgency phrases: emergency, now",Unknown,Distressed,0.48
C385,"Same. I hear you, br-",Unknown incident,Incident: Unknown incident,Unknown,Calm,0.54
C386,"I'm sorry, but the fireworks bill on. I'm sorry, you cannot call 911 for that.",Building fire / trapped persons,Incident: Building fire / trapped persons,Unknown,Distressed,0.29
C387,I just received a call a few minutes ago from one of our VPs who states that he'...,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.56
C388,If the Digman hit the park at 31st Avenue in Valmont.,Road accident / vehicle crash,"Incident: Road accident / vehicle crash | Locations: 31st Avenue, Valmont | Names: Digman",31st Avenue,Distressed,0.57
C389,It's a yes. Yes. The boys are here. Just a doubt. Let me have you. Ma'am. Ma'am.,Unknown incident,Incident: Unknown incident,Unknown,Calm,0.51
C390,There has been four gunshots. Close to the second. And it is in the middle.,Physical assault / fight,Incident: Physical assault / fight,Unknown,Distressed,0.63
C391,I cut my wife so sweet in the bathtub and I think she's dead. I want you with th...,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.73
C392,"We just found the body of a baby, my grandson.",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.66
C393,I would have brought behind him and his brother along with me and I called down ...,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.69
C394,This is our scouting utility emergency dispatch. We found a human skull. Oh my g...,Unknown incident,Incident: Unknown incident | Urgency phrases: emergency,Unknown,Distressed,0.8
C395,I need a police to come to my,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.79
C396,"Yes, no, I want to report a drug overdose.",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.65
C397,"Hello? Hello, my dad and my uncle just got shot. Okay. Oh my god, I don't like t...",Unknown incident,Incident: Physical assault / fight,Unknown,Distressed,0.78
C398,on the side of the guide. And you can tell my little foot in there now. OK. Can ...,Unknown incident,Incident: Unknown incident | Urgency phrases: now,Unknown,Calm,0.62
C399,"My brother, he was playing like with his gun.",Physical assault / fight,Incident: Unknown incident,Unknown,Distressed,0.53
C400,My brother is counting. Where are you at? I'm at the...,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.61
C401,"My guy, my girlfriend is yesterday. Calm down, sir. Is she still breathing?",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.48
C402,"We have a gunshot wound accidental in the household. Okay, how old?",Road accident / vehicle crash,Incident: Road accident / vehicle crash,Unknown,Distressed,0.68
C403,"Somebody just, somebody just take him in my house. What did he hit her in the he...",Road accident / vehicle crash,Incident: Road accident / vehicle crash,Unknown,Distressed,0.78
C404,There's a cleaning out of Rockville Road at 9.6.9.,Road accident / vehicle crash,Incident: Unknown incident | Locations: Rockville Road,Rockville Road,Distressed,0.57
C405,"I don't know what this kid has done, and she's like going into a theater or some...",Missing person report,Incident: Unknown incident | Urgency phrases: now,Unknown,Distressed,0.67
C406,"I got my gun out. There's somebody trying to get in my house. Okay, alright, let...",Physical assault / fight,Incident: Unknown incident,Unknown,Distressed,0.65
